F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
4.92,-13.23,330,13.22,-5.51,41.1,16.72,-56.98,-748.72,20,9.75,259.66,8,-0.35,4.76,False
-9.33,-27.72,3,12.78,-9.12,5.31,9.9,-30.98,-436.72,2,-1.56,131.66,0.76,1.79,,False
-15.09,-26.28,6,13.54,-7.75,5.67,9.93,-34.98,-482.72,2,-2.58,63.66,0.64,2.02,,True
-18.09,-24.6,30,13.28,-8.61,3.51,10.02,-30.98,-414.72,2,-7.08,133.66,0.57,1.98,,True
6.12,-8.64,300,14.94,-1.97,29.4,19.32,-36.98,-428.72,20,9.09,229.66,6.7,-3.83,,True
6.72,-12.9,325,11.54,-3.94,16.5,14.82,-76.98,-408.72,20,14.55,39.66,9.25,-3.27,7.02,True
-8.61,-23.79,44,12.48,-7.29,0.96,10.24,-34.98,-468.72,2,-0.36,95.66,0.56,1.98,6.53,True
5.85,-9.39,390,13.68,-2.43,34.35,18.27,-36.98,-588.72,20,13.56,109.66,5.5,-3.84,,False
-13.8,-27,25,11.72,-9.73,5.58,9.47,-34.98,-450.72,2,-0.27,83.66,0.56,4.96,,False
4.02,-11.46,95,10.38,-6.33,30.6,17.22,-56.98,-758.72,20,12.36,139.66,5.7,-2.87,,True
3.99,-12.84,235,13.78,-3.19,25.05,15.97,-36.98,-528.72,20,9.54,109.66,5.2,-0.36,,False
-10.71,-24.24,16,14.22,-7.9,1.8,10.47,-30.98,-426.72,2,1.08,59.66,0.47,3.66,,True
-11.07,-26.4,0,11.12,-7.56,3.18,9.55,-32.98,-480.72,2,-1.74,65.66,0.84,2.48,5.39,True
-3.06,-10.35,55,9.62,-3.31,17.85,15.92,-56.98,-508.72,20,12.93,19.66,7.35,-2.26,7.26,True
-13.98,-26.55,28,12,-7.46,2.76,9.91,-34.98,-438.72,2,-18.18,73.66,0.67,2.35,,False
-10.86,-26.43,33,12.32,-7.42,1.77,10.34,-30.98,-424.72,2,0.84,67.66,0.15,2.82,,False
-11.55,-27.72,9,13.1,-14.19,1.92,9.53,-30.98,-434.72,2,-3.06,75.66,0.79,1.69,,False
5.52,-11.7,270,11.02,-2.53,42,15.42,-56.98,-698.72,20,13.38,199.66,9.65,-3.23,,True
4.92,-14.34,360,17.86,-5.79,23.1,16.97,-56.98,-858.72,20,9.57,29.66,6.95,-2.27,5.36,False
-9.27,-23.91,3,11.66,-7.8,3.69,10.01,-26.98,-468.72,2,-0.12,125.66,0.77,1.46,,False
6.57,-9.9,315,14.68,-2.09,19.65,18.52,-46.98,-728.72,20,14.52,89.66,6.75,-3.98,,False
-9.33,-27.84,5,14.88,-8.89,3.06,10.32,-34.98,-442.72,2,-8.1,95.66,0.32,1.69,6.7,True
-8.25,-29.37,6,11.4,-9.56,2.85,9.89,-30.98,-448.72,2,-2.58,73.66,0.73,2.65,,False
-0.15,-11.46,345,13.46,-4.01,31.65,17.57,-36.98,-668.72,20,9.66,279.66,5.1,-2.04,,False
-13.86,-28.53,9,14.12,-7.69,1.17,10.07,-30.98,-480.72,0,-2.76,63.66,0.1,2.64,,False
-9.45,-24.72,23,17.4,-9.94,5.49,10.2,-30.98,-436.72,2,-3.66,133.66,0.4,1.36,,False
2.4,-19.74,285,10.96,-3.82,43.95,15.12,-76.98,-868.72,20,9.78,39.66,7.95,0.38,5.35,False
3.96,-11.07,365,9.58,-5.57,39,16.62,-76.98,-698.72,20,11.43,79.66,5.65,-1.64,4.5,False
2.97,-10.29,260,9.64,-2.56,28.5,18.57,-76.98,-748.72,20,15.3,69.66,5.75,-3.41,7.23,True
-9.63,-24.15,62,12.78,-7.52,0.33,10.18,-34.98,-492.72,2,-0.75,65.66,0.9,1.33,6.8,True
-1.23,-11.34,315,16.84,-3.9,24.45,15.82,-76.98,-788.72,20,11.67,-30.34,8.25,-2.86,,False
6.03,-11.79,310,13.38,-4.47,33,16.32,-56.98,-678.72,20,10.35,-50.34,9.3,-3.17,6.29,True
-10.35,-25.47,54,12.12,-7.66,4.2,10.25,-30.98,-438.72,2,-1.92,93.66,0.05,2.19,5.24,False
-4.35,-21.21,375,17.08,-5.33,28.8,14.37,-56.98,-608.72,20,-0.81,139.66,5.3,-0.21,,False
5.37,-9.54,150,8.58,-4.69,32.25,15.82,-56.98,-458.72,20,13.44,79.66,8,-2.87,6.85,True
-14.73,-26.7,9,14.2,-7.42,4.44,10.35,-30.98,-452.72,2,-1.98,143.66,0.92,3.29,,True
-9,-23.61,8,14.18,-8.42,5.13,10.27,-30.98,-458.72,2,-2.1,121.66,0.54,1.22,6.75,True
-8.22,-27.3,37,12.3,-7.37,4.95,9.91,-30.98,-426.72,2,-3.6,65.66,0.84,1.34,7.11,True
-0.3,-13.53,95,8.68,-6.38,39.15,15.67,-36.98,-518.72,20,4.41,149.66,6.8,-1.69,5.88,True
