F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
-39.32,5.72,-13.83,High,UK,0.03,-200.46,122.09,-2.96,6,2.67,8,607.14,19.19,10523.4,-635.8,1051.99
-29.38,8.2,-11.07,Medium,UK,56.97,-427.78,74.25,-22.94,4,3.84,10,867.03,12.65,10037.04,-469.73,816.64
2.46,20.32,-7.59,Low,Rest,45,-329.02,96.98,-10.9,4,13.14,8,-153.66,13.01,15100.28,-662.31,3241.77
16.33,2.76,-8.4,High,Rest,0.12,-196.88,42.45,-12.16,12,1.29,6,1461.87,9.19,22518.15,-1100.35,0
-14.93,9.98,-5.28,Medium,USA,557.61,-249.5,76.25,-20.54,8,2.58,2,-433.89,18.44,20111.46,-752.48,0
12.34,3.84,-18,Low,Europe,0.87,-74.46,66.7,-18.46,4,15.51,8,-515.55,11.21,10234.2,-290.43,91.9
-9.9,10.2,-11.76,Medium,UK,8.61,-200.2,62.7,-1.1,10,5.91,10,-28.41,14.12,11102.06,-816.04,0
-13.62,5.4,-16.77,Medium,Rest,4.38,-201.54,91.12,-13.3,6,5.34,6,1621.71,15.96,14760.4,-1029.52,273.7
16.69,3.76,0.69,Very high,USA,60.18,-185.88,106.31,-12.1,4,14.34,14,204.66,14.28,16432.34,-713.77,2420.98
-45.45,4.94,-11.49,Very high,UK,0,-217.62,88.4,-17.44,4,24.96,12,278.25,8.75,19807.3,-176.51,2308.05
-1.72,11.26,0.78,Low,Europe,5.01,-209.48,79.31,-7.66,6,9.93,6,-253.77,13.26,15927.15,-665.91,80.87
-50.99,12.32,8.49,Low,UK,73.05,102.14,47.42,-20.26,10,10.98,10,382.71,21.75,6796.03,-537.06,94.92
-10.35,9.66,-2.1,Very low,Rest,3.63,-152.58,104.32,-17.06,6,9.72,8,55.44,19,15172.27,-374.68,1290.43
-4.36,24.1,8.67,Low,USA,0.24,-231.42,134.45,-17.94,6,5.37,8,448.26,14.64,7960.95,-352.92,2902.33
-88.78,4.88,-12.66,Medium,UK,4.08,-197.74,96.64,-19.92,4,9.09,6,2250.48,14.53,13337.7,-684.4,1248.35
-20.77,2.68,-8.58,Very low,Europe,2.25,-286.72,97.1,-14.9,10,3.33,12,27.36,13.45,15397.58,-420.93,0
24.49,1.78,-9.72,Very low,Rest,11.16,-200.54,120.4,-9.46,10,3.27,6,924.54,24.52,16468.2,-548.84,0
-18.99,5.28,-2.34,Medium,Rest,6.36,-357.14,89.52,-8.88,8,4.74,8,-1920.6,9.01,17221.47,-667.47,0
